Frequency (Hz),PSD (dBfs)
93000000.0,-80.45529
93010000.0,-80.47096
93020000.0,-80.49549
93030000.0,-80.50506
93040000.0,-80.47609
93050000.0,-80.51097
93060000.0,-80.56024
93070000.0,-80.54145
93080000.0,-80.4931
93090000.0,-80.45709
93100000.0,-80.476265
93110000.0,-80.47661
93120000.0,-80.486
93130000.0,-80.49565
93140000.0,-80.454956
93150000.0,-80.49439
93160000.0,-80.47001
93170000.0,-80.479706
93180000.0,-80.49982
93190000.0,-80.50243
93200000.0,-80.51729
93210000.0,-80.5038
93220000.0,-80.512985
93230000.0,-80.48494
93240000.0,-80.49011
93250000.0,-80.49655
93260000.0,-80.54489
93270000.0,-80.487274
93280000.0,-80.51404
93290000.0,-80.52867
93300000.0,-80.495384
93310000.0,-80.5283
93320000.0,-80.50655
93330000.0,-80.492935
93340000.0,-80.500534
93350000.0,-80.50681
93360000.0,-80.48239
93370000.0,-80.48369
93380000.0,-80.47653
93390000.0,-80.49622
93400000.0,-80.48496
93410000.0,-80.51136
93420000.0,-80.533
93430000.0,-80.470955
93440000.0,-80.48462
93450000.0,-80.52435
93460000.0,-80.60317
93470000.0,-80.55027
93480000.0,-80.44137
93490000.0,-80.47052
93500000.0,-80.50468
93510000.0,-80.50476
93520000.0,-80.48392
93530000.0,-80.48606
93540000.0,-80.54224
93550000.0,-80.54906
93560000.0,-80.50687
93570000.0,-80.47383
93580000.0,-80.52949
93590000.0,-80.52475
93600000.0,-80.503914
93610000.0,-80.50629
93620000.0,-80.56094
93630000.0,-80.47037
93640000.0,-80.524506
93650000.0,-80.56578
93660000.0,-80.52987
93670000.0,-80.53061
93680000.0,-80.525375
93690000.0,-80.56468
93700000.0,-80.50492
93710000.0,-80.483765
93720000.0,-80.44379
93730000.0,-80.4665
93740000.0,-80.488815
93750000.0,-80.49278
93760000.0,-80.540016
93770000.0,-80.559685
93780000.0,-80.53183
93790000.0,-80.49019
93800000.0,-80.54193
93810000.0,-80.56691
93820000.0,-80.55371
93830000.0,-80.52708
93840000.0,-80.52163
93850000.0,-80.535446
93860000.0,-80.54927
93870000.0,-80.57746
93880000.0,-80.53741
93890000.0,-80.50116
93900000.0,-80.49405
93910000.0,-80.5186
93920000.0,-80.504524
93930000.0,-80.48128
93940000.0,-80.46863
93950000.0,-80.45617
93960000.0,-80.49323
93970000.0,-80.53307
93980000.0,-80.483505
93990000.0,-80.42842
94000000.0,-80.37399
94010000.0,-80.49335
94020000.0,-80.50248
94030000.0,-80.484116
94040000.0,-80.49935
94050000.0,-80.516846
94060000.0,-80.46092
94070000.0,-80.46726
94080000.0,-80.50647
94090000.0,-80.536766
94100000.0,-80.52701
94110000.0,-80.487335
94120000.0,-80.45679
94130000.0,-80.51452
94140000.0,-80.53673
94150000.0,-80.5214
94160000.0,-80.520134
94170000.0,-80.508255
94180000.0,-80.511475
94190000.0,-80.52273
94200000.0,-80.542366
94210000.0,-80.55503
94220000.0,-80.540924
94230000.0,-80.527756
94240000.0,-80.503555
94250000.0,-80.449745
94260000.0,-80.48958
94270000.0,-80.53849
94280000.0,-80.51756
94290000.0,-80.501205
94300000.0,-80.493935
94310000.0,-80.506226
94320000.0,-80.51628
94330000.0,-80.464615
94340000.0,-80.498535
94350000.0,-80.4699
94360000.0,-80.47504
94370000.0,-80.46945
94380000.0,-80.4393
94390000.0,-80.48721
94400000.0,-80.507935
94410000.0,-80.498215
94420000.0,-80.50874
94430000.0,-80.4562
94440000.0,-80.482704
94450000.0,-80.50775
94460000.0,-80.534454
94470000.0,-80.49141
94480000.0,-80.537796
94490000.0,-80.525696
94500000.0,-80.52724
94510000.0,-80.4781
94520000.0,-80.486824
94530000.0,-80.512695
94540000.0,-80.53816
94550000.0,-80.53537
94560000.0,-80.48099
94570000.0,-80.47408
94580000.0,-80.49637
94590000.0,-80.50484
94600000.0,-80.51186
94610000.0,-80.4787
94620000.0,-80.491035
94630000.0,-80.58836
94640000.0,-80.565094
94650000.0,-80.54264
94660000.0,-80.49178
94670000.0,-80.44724
94680000.0,-80.49796
94690000.0,-80.49243
94700000.0,-80.55515
94710000.0,-80.56672
94720000.0,-80.5696
94730000.0,-80.54469
94740000.0,-80.4682
94750000.0,-80.45716
94760000.0,-80.46527
94770000.0,-80.504875
94780000.0,-80.58071
94790000.0,-80.51759
94800000.0,-80.50286
94810000.0,-80.54236
94820000.0,-80.55206
94830000.0,-80.541115
94840000.0,-80.557335
94850000.0,-80.57496
94860000.0,-80.59207
94870000.0,-80.57435
94880000.0,-80.47252
94890000.0,-80.44734
94900000.0,-80.45905
94910000.0,-80.48511
94920000.0,-80.53112
94930000.0,-80.54692
94940000.0,-80.4893
94950000.0,-80.47471
94960000.0,-80.53212
94970000.0,-80.50093
94980000.0,-80.5173
94990000.0,-80.526245
95000000.0,-80.50304
95010000.0,-80.521324
95020000.0,-80.51715
95030000.0,-80.56741
95040000.0,-80.50996
95050000.0,-80.5161
95060000.0,-80.4914
95070000.0,-80.52353
95080000.0,-80.467514
95090000.0,-80.47309
95100000.0,-80.49861
95110000.0,-80.49396
95120000.0,-80.53321
95130000.0,-80.53939
95140000.0,-80.47515
95150000.0,-80.51131
95160000.0,-80.5562
95170000.0,-80.551384
95180000.0,-80.56251
95190000.0,-80.51445
95200000.0,-80.502686
95210000.0,-80.49394
95220000.0,-80.54221
95230000.0,-80.564316
95240000.0,-80.522545
95250000.0,-80.484474
95260000.0,-80.5143
95270000.0,-80.508286
95280000.0,-80.54641
95290000.0,-80.54681
95300000.0,-80.51842
95310000.0,-80.5124
95320000.0,-80.50129
95330000.0,-80.472946
95340000.0,-80.43761
95350000.0,-80.48566
95360000.0,-80.54577
95370000.0,-80.5298
95380000.0,-80.52029
95390000.0,-80.50335
95400000.0,-80.46448
95410000.0,-80.48813
95420000.0,-80.533905
95430000.0,-80.53676
95440000.0,-80.53076
95450000.0,-80.52932
95460000.0,-80.51668
95470000.0,-80.475555
95480000.0,-80.49313
95490000.0,-80.52361
95500000.0,-80.53853
95510000.0,-80.50021
95520000.0,-80.512405
95530000.0,-80.541016
95540000.0,-80.519554
95550000.0,-80.527306
95560000.0,-80.52642
95570000.0,-80.46866
95580000.0,-80.45625
95590000.0,-80.50174
95600000.0,-80.54912
95610000.0,-80.50312
95620000.0,-80.488434
95630000.0,-80.4723
95640000.0,-80.45468
95650000.0,-80.378685
95660000.0,-80.25654
95670000.0,-80.09636
95680000.0,-79.821075
95690000.0,-79.48029
95700000.0,-79.32634
95710000.0,-79.80309
95720000.0,-80.304474
95730000.0,-80.444336
95740000.0,-80.510345
95750000.0,-80.52113
95760000.0,-80.49077
95770000.0,-80.54007
95780000.0,-80.55322
95790000.0,-80.47629
95800000.0,-80.48326
95810000.0,-80.4667
95820000.0,-80.55923
95830000.0,-80.56732
95840000.0,-80.53854
95850000.0,-80.579025
95860000.0,-80.510605
95870000.0,-80.45087
95880000.0,-80.48119
95890000.0,-80.5446
95900000.0,-80.53125
95910000.0,-80.43248
95920000.0,-80.48011
95930000.0,-80.52229
95940000.0,-80.511826
95950000.0,-80.48918
95960000.0,-80.48575
95970000.0,-80.52201
95980000.0,-80.53294
95990000.0,-80.485146
96000000.0,-80.54428
96010000.0,-80.55403
96020000.0,-80.53725
96030000.0,-80.519714
96040000.0,-80.486115
96050000.0,-80.547516
96060000.0,-80.55481
96070000.0,-80.490814
96080000.0,-80.47475
96090000.0,-80.5331
96100000.0,-80.5333
96110000.0,-80.51689
96120000.0,-80.51607
96130000.0,-80.48911
96140000.0,-80.47001
96150000.0,-80.51324
96160000.0,-80.50317
96170000.0,-80.4932
96180000.0,-80.497955
96190000.0,-80.459625
96200000.0,-80.43786
96210000.0,-80.49862
96220000.0,-80.49282
96230000.0,-80.48562
96240000.0,-80.502716
96250000.0,-80.49316
96260000.0,-80.46996
96270000.0,-80.46166
96280000.0,-80.434425
96290000.0,-80.462006
96300000.0,-80.41976
96310000.0,-80.404724
96320000.0,-80.44595
96330000.0,-80.44461
96340000.0,-80.445496
96350000.0,-80.453964
96360000.0,-80.46912
96370000.0,-80.500786
96380000.0,-80.51876
96390000.0,-80.48069
96400000.0,-80.50446
96410000.0,-80.60733
96420000.0,-80.56816
96430000.0,-80.51477
96440000.0,-80.53898
96450000.0,-80.5167
96460000.0,-80.54718
96470000.0,-80.5365
96480000.0,-80.50116
96490000.0,-80.47318
96500000.0,-80.49255
96510000.0,-80.51415
96520000.0,-80.53523
96530000.0,-80.55444
96540000.0,-80.551796
96550000.0,-80.55012
96560000.0,-80.532906
96570000.0,-80.539444
96580000.0,-80.55531
96590000.0,-80.53667
96600000.0,-80.457016
96610000.0,-80.477715
96620000.0,-80.51822
96630000.0,-80.55502
96640000.0,-80.52835
96650000.0,-80.5027
96660000.0,-80.51415
96670000.0,-80.50508
96680000.0,-80.46749
96690000.0,-80.48687
96700000.0,-80.501755
96710000.0,-80.54799
96720000.0,-80.564
96730000.0,-80.556595
96740000.0,-80.57496
96750000.0,-80.55025
96760000.0,-80.53631
96770000.0,-80.57544
96780000.0,-80.550316
96790000.0,-80.56186
96800000.0,-80.535164
96810000.0,-80.53255
96820000.0,-80.51701
96830000.0,-80.5255
96840000.0,-80.51094
96850000.0,-80.55182
96860000.0,-80.5444
96870000.0,-80.503845
96880000.0,-80.50129
96890000.0,-80.5314
96900000.0,-80.529236
96910000.0,-80.54617
96920000.0,-80.53097
96930000.0,-80.522575
96940000.0,-80.53771
96950000.0,-80.55069
96960000.0,-80.52374
96970000.0,-80.53033
96980000.0,-80.54267
96990000.0,-80.4541
97000000.0,-80.29853
97010000.0,-80.45297
97020000.0,-80.501114
97030000.0,-80.56354
97040000.0,-80.560684
97050000.0,-80.53815
97060000.0,-80.5262
97070000.0,-80.53771
97080000.0,-80.54686
97090000.0,-80.55771
97100000.0,-80.571884
97110000.0,-80.51576
97120000.0,-80.47759
97130000.0,-80.542915
97140000.0,-80.5759
97150000.0,-80.49175
97160000.0,-80.518196
97170000.0,-80.56049
97180000.0,-80.526505
97190000.0,-80.53876
97200000.0,-80.51285
97210000.0,-80.54283
97220000.0,-80.54428
97230000.0,-80.556625
97240000.0,-80.52367
97250000.0,-80.53344
97260000.0,-80.53687
97270000.0,-80.53912
97280000.0,-80.483215
97290000.0,-80.49559
97300000.0,-80.54419
97310000.0,-80.54928
97320000.0,-80.557526
97330000.0,-80.57861
97340000.0,-80.55754
97350000.0,-80.49945
97360000.0,-80.54324
97370000.0,-80.55229
97380000.0,-80.59061
97390000.0,-80.549805
97400000.0,-80.566574
97410000.0,-80.54687
97420000.0,-80.57521
97430000.0,-80.59256
97440000.0,-80.57027
97450000.0,-80.52311
97460000.0,-80.51634
97470000.0,-80.54661
97480000.0,-80.57781
97490000.0,-80.53342
97500000.0,-80.60304
97510000.0,-80.56642
97520000.0,-80.560844
97530000.0,-80.54946
97540000.0,-80.57755
97550000.0,-80.59027
97560000.0,-80.5347
97570000.0,-80.51835
97580000.0,-80.57275
97590000.0,-80.5597
97600000.0,-80.56316
97610000.0,-80.59261
97620000.0,-80.59567
97630000.0,-80.56004
97640000.0,-80.53456
97650000.0,-80.540535
97660000.0,-80.51968
97670000.0,-80.558105
97680000.0,-80.5745
97690000.0,-80.51973
97700000.0,-80.55144
97710000.0,-80.57633
97720000.0,-80.54863
97730000.0,-80.56355
97740000.0,-80.54902
97750000.0,-80.52641
97760000.0,-80.48865
97770000.0,-80.54027
97780000.0,-80.51039
97790000.0,-80.52318
97800000.0,-80.54556
97810000.0,-80.494995
97820000.0,-80.52483
97830000.0,-80.54054
97840000.0,-80.54417
97850000.0,-80.55923
97860000.0,-80.60242
97870000.0,-80.57364
97880000.0,-80.546234
97890000.0,-80.548004
97900000.0,-80.57929
97910000.0,-80.594986
97920000.0,-80.59427
97930000.0,-80.61992
97940000.0,-80.60967
97950000.0,-80.57193
97960000.0,-80.540245
97970000.0,-80.57068
97980000.0,-80.54451
97990000.0,-80.513794
98000000.0,-80.44083
98010000.0,-80.545715
98020000.0,-80.49282
98030000.0,-80.50213
98040000.0,-80.54204
98050000.0,-80.53651
98060000.0,-80.50763
98070000.0,-80.51487
98080000.0,-80.600624
98090000.0,-80.603
98100000.0,-80.53216
98110000.0,-80.53407
98120000.0,-80.53421
98130000.0,-80.54718
98140000.0,-80.60118
98150000.0,-80.54809
98160000.0,-80.520515
98170000.0,-80.528725
98180000.0,-80.51758
98190000.0,-80.49183
98200000.0,-80.57225
98210000.0,-80.54001
98220000.0,-80.56999
98230000.0,-80.61336
98240000.0,-80.54945
98250000.0,-80.529144
98260000.0,-80.55844
98270000.0,-80.58388
98280000.0,-80.531075
98290000.0,-80.53178
98300000.0,-80.53666
98310000.0,-80.511665
98320000.0,-80.568115
98330000.0,-80.56883
98340000.0,-80.59933
98350000.0,-80.5799
98360000.0,-80.58206
98370000.0,-80.59163
98380000.0,-80.61988
98390000.0,-80.55444
98400000.0,-80.50624
98410000.0,-80.548935
98420000.0,-80.603775
98430000.0,-80.636734
98440000.0,-80.61919
98450000.0,-80.5592
98460000.0,-80.58953
98470000.0,-80.59343
98480000.0,-80.57852
98490000.0,-80.57949
98500000.0,-80.56259
98510000.0,-80.5744
98520000.0,-80.55176
98530000.0,-80.5313
98540000.0,-80.60408
98550000.0,-80.6372
98560000.0,-80.62804
98570000.0,-80.593834
98580000.0,-80.568375
98590000.0,-80.58525
98600000.0,-80.594475
98610000.0,-80.619576
98620000.0,-80.634384
98630000.0,-80.59783
98640000.0,-80.587494
98650000.0,-80.606415
98660000.0,-80.61242
98670000.0,-80.62639
98680000.0,-80.5832
98690000.0,-80.5564
98700000.0,-80.585976
98710000.0,-80.57346
98720000.0,-80.56588
98730000.0,-80.58421
98740000.0,-80.556564
98750000.0,-80.60375
98760000.0,-80.626564
98770000.0,-80.55892
98780000.0,-80.56691
98790000.0,-80.54925
98800000.0,-80.548485
98810000.0,-80.570526
98820000.0,-80.5827
98830000.0,-80.60365
98840000.0,-80.58056
98850000.0,-80.65502
98860000.0,-80.61375
98870000.0,-80.58493
98880000.0,-80.58948
98890000.0,-80.57771
98900000.0,-80.57463
98910000.0,-80.600586
98920000.0,-80.57587
98930000.0,-80.56094
98940000.0,-80.56601
98950000.0,-80.56409
98960000.0,-80.580795
98970000.0,-80.596756
98980000.0,-80.5936
98990000.0,-80.523415
99000000.0,-80.305016
99010000.0,-80.473206
99020000.0,-80.56792
99030000.0,-80.5693
99040000.0,-80.5873
99050000.0,-80.59865
99060000.0,-80.60521
99070000.0,-80.594864
99080000.0,-80.61305
99090000.0,-80.60967
99100000.0,-80.56009
99110000.0,-80.61006
99120000.0,-80.60337
99130000.0,-80.59404
99140000.0,-80.60975
99150000.0,-80.577805
99160000.0,-80.59161
99170000.0,-80.64244
99180000.0,-80.631744
99190000.0,-80.58894
99200000.0,-80.57939
99210000.0,-80.60823
99220000.0,-80.62311
99230000.0,-80.597046
99240000.0,-80.567924
99250000.0,-80.577255
99260000.0,-80.5959
99270000.0,-80.62352
99280000.0,-80.570526
99290000.0,-80.5676
99300000.0,-80.57377
99310000.0,-80.55037
99320000.0,-80.60345
99330000.0,-80.587036
99340000.0,-80.5892
99350000.0,-80.577934
99360000.0,-80.5838
99370000.0,-80.659706
99380000.0,-80.62277
99390000.0,-80.63873
99400000.0,-80.60239
99410000.0,-80.65764
99420000.0,-80.61574
99430000.0,-80.59861
99440000.0,-80.53422
99450000.0,-80.548004
99460000.0,-80.61513
99470000.0,-80.6292
99480000.0,-80.61862
99490000.0,-80.584785
99500000.0,-80.567894
99510000.0,-80.63521
99520000.0,-80.64933
99530000.0,-80.683426
99540000.0,-80.64386
99550000.0,-80.642334
99560000.0,-80.6271
99570000.0,-80.597755
99580000.0,-80.579254
99590000.0,-80.591194
99600000.0,-80.60782
99610000.0,-80.56985
99620000.0,-80.57773
99630000.0,-80.5883
99640000.0,-80.54431
99650000.0,-80.53874
99660000.0,-80.53552
99670000.0,-80.62045
99680000.0,-80.55612
99690000.0,-80.42949
99700000.0,-80.35582
99710000.0,-80.2173
99720000.0,-80.11971
99730000.0,-80.157936
99740000.0,-80.24484
99750000.0,-80.36445
99760000.0,-80.449524
99770000.0,-80.58575
99780000.0,-80.576515
99790000.0,-80.562546
99800000.0,-80.59884
99810000.0,-80.6494
99820000.0,-80.68073
99830000.0,-80.65259
99840000.0,-80.61656
99850000.0,-80.65514
99860000.0,-80.62481
99870000.0,-80.591064
99880000.0,-80.62611
99890000.0,-80.59086
99900000.0,-80.590576
99910000.0,-80.58941
99920000.0,-80.601006
99930000.0,-80.592255
99940000.0,-80.64096
99950000.0,-80.59556
99960000.0,-80.55536
99970000.0,-80.656975
99980000.0,-80.67671
99990000.0,-78.5624
100000000.0,-75.2296
100010000.0,-78.51703
