Frequency (Hz),PSD (dBfs)
348000000.0,-81.00076
348010000.0,-81.013176
348020000.0,-81.03771
348030000.0,-81.06079
348040000.0,-81.065865
348050000.0,-81.04554
348060000.0,-80.99514
348070000.0,-80.987915
348080000.0,-81.00786
348090000.0,-81.00604
348100000.0,-81.02675
348110000.0,-81.036865
348120000.0,-81.02948
348130000.0,-80.99719
348140000.0,-80.99312
348150000.0,-81.02828
348160000.0,-81.054756
348170000.0,-81.105156
348180000.0,-81.12529
348190000.0,-81.09192
348200000.0,-80.99382
348210000.0,-81.04629
348220000.0,-81.039154
348230000.0,-81.03397
348240000.0,-81.01494
348250000.0,-81.012505
348260000.0,-81.018555
348270000.0,-81.064896
348280000.0,-81.03891
348290000.0,-81.04436
348300000.0,-81.06113
348310000.0,-81.052185
348320000.0,-80.99353
348330000.0,-81.050835
348340000.0,-81.035385
348350000.0,-80.99246
348360000.0,-81.05882
348370000.0,-81.08447
348380000.0,-81.03362
348390000.0,-81.00198
348400000.0,-81.06581
348410000.0,-81.09502
348420000.0,-81.03026
348430000.0,-81.030136
348440000.0,-81.068054
348450000.0,-81.07647
348460000.0,-81.05645
348470000.0,-81.00272
348480000.0,-80.97935
348490000.0,-81.00774
348500000.0,-81.03982
348510000.0,-80.989235
348520000.0,-81.08447
348530000.0,-81.06243
348540000.0,-81.04819
348550000.0,-81.064285
348560000.0,-81.06775
348570000.0,-81.02443
348580000.0,-81.05423
348590000.0,-81.05083
348600000.0,-81.03285
348610000.0,-81.05148
348620000.0,-81.01223
348630000.0,-80.98621
348640000.0,-81.014084
348650000.0,-81.0733
348660000.0,-81.05223
348670000.0,-81.039314
348680000.0,-81.068306
348690000.0,-81.04336
348700000.0,-81.00693
348710000.0,-81.02464
348720000.0,-81.06651
348730000.0,-81.01842
348740000.0,-80.94293
348750000.0,-81.02879
348760000.0,-81.03707
348770000.0,-81.028145
348780000.0,-81.02482
348790000.0,-81.04813
348800000.0,-81.01941
348810000.0,-81.049
348820000.0,-81.133316
348830000.0,-81.10768
348840000.0,-81.058876
348850000.0,-81.05191
348860000.0,-80.98549
348870000.0,-80.98871
348880000.0,-81.08826
348890000.0,-81.017395
348900000.0,-80.99817
348910000.0,-80.99756
348920000.0,-81.01788
348930000.0,-81.03714
348940000.0,-81.007416
348950000.0,-80.97221
348960000.0,-81.01611
348970000.0,-81.04979
348980000.0,-81.0762
348990000.0,-81.07837
349000000.0,-81.06528
349010000.0,-81.090576
349020000.0,-81.07131
349030000.0,-81.02581
349040000.0,-81.01489
349050000.0,-80.96425
349060000.0,-80.99091
349070000.0,-81.03242
349080000.0,-81.09071
349090000.0,-81.01253
349100000.0,-80.97151
349110000.0,-80.99873
349120000.0,-80.98746
349130000.0,-81.02258
349140000.0,-81.03912
349150000.0,-81.070786
349160000.0,-81.06685
349170000.0,-81.05811
349180000.0,-81.037895
349190000.0,-81.054085
349200000.0,-81.04908
349210000.0,-81.03295
349220000.0,-81.05415
349230000.0,-81.072845
349240000.0,-81.041016
349250000.0,-81.005905
349260000.0,-80.95051
349270000.0,-81.010056
349280000.0,-81.03207
349290000.0,-80.98756
349300000.0,-80.99502
349310000.0,-80.989525
349320000.0,-80.94719
349330000.0,-80.97139
349340000.0,-80.98743
349350000.0,-81.00113
349360000.0,-80.99036
349370000.0,-80.99844
349380000.0,-81.08241
349390000.0,-81.05521
349400000.0,-80.99857
349410000.0,-81.05933
349420000.0,-81.04999
349430000.0,-80.94685
349440000.0,-80.9648
349450000.0,-81.01566
349460000.0,-80.99113
349470000.0,-80.9875
349480000.0,-81.0458
349490000.0,-81.065796
349500000.0,-81.029236
349510000.0,-81.05902
349520000.0,-81.038086
349530000.0,-81.070206
349540000.0,-81.05203
349550000.0,-81.036606
349560000.0,-81.02614
349570000.0,-81.05179
349580000.0,-81.043274
349590000.0,-81.02967
349600000.0,-81.04103
349610000.0,-81.06991
349620000.0,-81.03875
349630000.0,-80.99014
349640000.0,-81.03755
349650000.0,-81.01906
349660000.0,-81.01563
349670000.0,-81.04024
349680000.0,-81.07239
349690000.0,-81.00422
349700000.0,-81.00302
349710000.0,-81.0192
349720000.0,-81.08407
349730000.0,-81.08775
349740000.0,-81.00366
349750000.0,-80.99407
349760000.0,-80.98995
349770000.0,-81.02891
349780000.0,-81.08146
349790000.0,-81.05733
349800000.0,-81.018974
349810000.0,-81.04615
349820000.0,-81.07284
349830000.0,-81.065216
349840000.0,-81.06485
349850000.0,-81.09502
349860000.0,-81.03469
349870000.0,-81.027756
349880000.0,-81.04232
349890000.0,-81.061745
349900000.0,-81.03721
349910000.0,-81.027565
349920000.0,-81.0772
349930000.0,-81.105484
349940000.0,-81.02566
349950000.0,-81.030685
349960000.0,-81.023605
349970000.0,-81.01548
349980000.0,-81.02249
349990000.0,-81.02338
350000000.0,-80.982445
350010000.0,-81.05096
350020000.0,-81.00788
350030000.0,-81.04118
350040000.0,-81.059654
350050000.0,-81.00557
350060000.0,-80.97635
350070000.0,-81.00618
350080000.0,-81.02756
350090000.0,-80.99953
350100000.0,-80.96532
350110000.0,-80.988686
350120000.0,-81.04706
350130000.0,-81.05733
350140000.0,-81.07321
350150000.0,-81.07238
350160000.0,-81.03592
350170000.0,-81.04889
350180000.0,-81.03288
350190000.0,-81.0639
350200000.0,-81.1016
350210000.0,-81.078026
350220000.0,-81.041405
350230000.0,-81.00461
350240000.0,-80.994255
350250000.0,-80.9542
350260000.0,-81.01933
350270000.0,-81.04646
350280000.0,-81.03044
350290000.0,-80.963295
350300000.0,-80.983315
350310000.0,-81.001205
350320000.0,-81.002426
350330000.0,-81.03554
350340000.0,-81.101234
350350000.0,-81.05423
350360000.0,-81.005295
350370000.0,-81.044556
350380000.0,-81.07927
350390000.0,-81.04717
350400000.0,-81.04639
350410000.0,-80.98338
350420000.0,-81.010574
350430000.0,-81.0273
350440000.0,-81.07907
350450000.0,-81.05325
350460000.0,-81.01986
350470000.0,-81.034134
350480000.0,-81.03881
350490000.0,-81.0211
350500000.0,-81.017876
350510000.0,-80.99754
350520000.0,-80.92602
350530000.0,-80.93829
350540000.0,-80.98761
350550000.0,-80.994354
350560000.0,-81.07028
350570000.0,-81.12823
350580000.0,-81.10852
350590000.0,-81.08214
350600000.0,-81.04926
350610000.0,-81.0549
350620000.0,-81.060486
