Frequency (Hz),PSD (dBm)
990000000.0,-78.444405
990009765.625,-78.45718
990019531.25,-78.49146
990029296.875,-78.46967
990039062.5,-78.46228
990048828.125,-78.498276
990058593.75,-78.52645
990068359.375,-78.47715
990078125.0,-78.51173
990087890.625,-78.49364
990097656.25,-78.48486
990107421.875,-78.47571
990117187.5,-78.480354
990126953.125,-78.48074
990136718.75,-78.47877
990146484.375,-78.46208
990156250.0,-78.50473
990166015.625,-78.51831
990175781.25,-78.467896
990185546.875,-78.446915
990195312.5,-78.47719
990205078.125,-78.485054
990214843.75,-78.49904
990224609.375,-78.49835
990234375.0,-78.49423
990244140.625,-78.447075
990253906.25,-78.451584
990263671.875,-78.45029
990273437.5,-78.46135
990283203.125,-78.521484
990292968.75,-78.44983
990302734.375,-78.47875
990312500.0,-78.50708
990322265.625,-78.41593
990332031.25,-78.42552
990341796.875,-78.45449
990351562.5,-78.46328
990361328.125,-78.43063
990371093.75,-78.45178
990380859.375,-78.46624
990390625.0,-78.438156
990400390.625,-78.464806
990410156.25,-78.49967
990419921.875,-78.47836
990429687.5,-78.48343
990439453.125,-78.530655
990449218.75,-78.50444
990458984.375,-78.45776
990468750.0,-78.37489
990478515.625,-78.433235
990488281.25,-78.48824
990498046.875,-78.47001
990507812.5,-78.42329
990517578.125,-78.40234
990527343.75,-78.409134
990537109.375,-78.48121
990546875.0,-78.45017
990556640.625,-78.423836
990566406.25,-78.44417
990576171.875,-78.46506
990585937.5,-78.44996
990595703.125,-78.48004
990605468.75,-78.46564
990615234.375,-78.439354
990625000.0,-78.46639
990634765.625,-78.4887
990644531.25,-78.454956
990654296.875,-78.45097
990664062.5,-78.40985
990673828.125,-78.45748
990683593.75,-78.48432
990693359.375,-78.486885
990703125.0,-78.48362
990712890.625,-78.44867
990722656.25,-78.45547
990732421.875,-78.47556
990742187.5,-78.481834
990751953.125,-78.43725
990761718.75,-78.43262
990771484.375,-78.43492
990781250.0,-78.441086
990791015.625,-78.488266
990800781.25,-78.496086
990810546.875,-78.44091
990820312.5,-78.51813
990830078.125,-78.53717
990839843.75,-78.49319
990849609.375,-78.408005
990859375.0,-78.46721
990869140.625,-78.49928
990878906.25,-78.474724
990888671.875,-78.440384
990898437.5,-78.44817
990908203.125,-78.45662
990917968.75,-78.49635
990927734.375,-78.50814
990937500.0,-78.49599
990947265.625,-78.4292
990957031.25,-78.43736
990966796.875,-78.44741
990976562.5,-78.45802
990986328.125,-78.44094
990996093.75,-78.44463
991005859.375,-78.41892
991015625.0,-78.4785
991025390.625,-78.44376
991035156.25,-78.450554
991044921.875,-78.43102
991054687.5,-78.49266
991064453.125,-78.47045
991074218.75,-78.41663
991083984.375,-78.46712
991093750.0,-78.481
991103515.625,-78.42113
991113281.25,-78.45738
991123046.875,-78.50836
991132812.5,-78.5154
991142578.125,-78.459694
991152343.75,-78.432495
991162109.375,-78.50302
991171875.0,-78.47944
991181640.625,-78.51964
991191406.25,-78.5172
991201171.875,-78.472244
991210937.5,-78.477295
991220703.125,-78.50348
991230468.75,-78.46565
991240234.375,-78.47412
991250000.0,-78.45959
991259765.625,-78.39955
991269531.25,-78.40514
991279296.875,-78.463585
991289062.5,-78.45702
991298828.125,-78.44432
991308593.75,-78.460915
991318359.375,-78.49265
991328125.0,-78.45367
991337890.625,-78.46927
991347656.25,-78.47801
991357421.875,-78.45695
991367187.5,-78.451324
991376953.125,-78.44864
991386718.75,-78.401184
991396484.375,-78.423584
991406250.0,-78.50676
991416015.625,-78.48047
991425781.25,-78.45981
991435546.875,-78.42488
991445312.5,-78.41683
991455078.125,-78.46603
991464843.75,-78.44642
991474609.375,-78.450134
991484375.0,-78.47734
991494140.625,-78.47182
991503906.25,-78.465675
991513671.875,-78.496925
991523437.5,-78.469536
991533203.125,-78.385086
991542968.75,-78.45621
991552734.375,-78.474434
991562500.0,-78.44726
991572265.625,-78.42136
991582031.25,-78.44479
991591796.875,-78.45977
991601562.5,-78.44908
991611328.125,-78.443375
991621093.75,-78.4614
991630859.375,-78.42183
991640625.0,-78.45574
991650390.625,-78.51585
991660156.25,-78.5013
991669921.875,-78.474915
991679687.5,-78.44977
991689453.125,-78.44263
991699218.75,-78.49487
991708984.375,-78.48883
991718750.0,-78.439125
991728515.625,-78.44554
991738281.25,-78.42468
991748046.875,-78.43614
991757812.5,-78.45056
991767578.125,-78.484406
991777343.75,-78.47671
991787109.375,-78.43141
991796875.0,-78.37718
991806640.625,-78.41869
991816406.25,-78.448395
991826171.875,-78.430534
991835937.5,-78.40167
991845703.125,-78.43673
991855468.75,-78.450294
991865234.375,-78.43907
991875000.0,-78.40315
991884765.625,-78.44802
991894531.25,-78.4838
991904296.875,-78.442085
991914062.5,-78.44159
991923828.125,-78.4682
991933593.75,-78.479836
991943359.375,-78.50092
991953125.0,-78.468414
991962890.625,-78.436676
991972656.25,-78.44767
991982421.875,-78.517586
991992187.5,-78.53163
992001953.125,-78.48756
992011718.75,-78.446304
992021484.375,-78.47848
992031250.0,-78.41756
992041015.625,-78.41249
992050781.25,-78.41295
992060546.875,-78.445786
992070312.5,-78.468094
992080078.125,-78.476555
992089843.75,-78.4822
992099609.375,-78.45884
992109375.0,-78.466644
992119140.625,-78.51769
992128906.25,-78.56308
992138671.875,-78.52128
992148437.5,-78.52883
992158203.125,-78.48971
992167968.75,-78.43857
992177734.375,-78.45465
992187500.0,-78.49979
992197265.625,-78.490204
992207031.25,-78.449005
992216796.875,-78.455475
992226562.5,-78.47235
992236328.125,-78.450584
992246093.75,-78.50885
992255859.375,-78.47364
992265625.0,-78.41984
992275390.625,-78.496155
992285156.25,-78.467026
992294921.875,-78.42863
992304687.5,-78.441
992314453.125,-78.44488
992324218.75,-78.48647
992333984.375,-78.44534
992343750.0,-78.44275
992353515.625,-78.415665
992363281.25,-78.42662
992373046.875,-78.41456
992382812.5,-78.4406
992392578.125,-78.42319
992402343.75,-78.442566
992412109.375,-78.457115
992421875.0,-78.46932
992431640.625,-78.46551
992441406.25,-78.43133
992451171.875,-78.473854
992460937.5,-78.46987
992470703.125,-78.45662
992480468.75,-78.41125
992490234.375,-78.43904
992500000.0,-78.47154
992509765.625,-78.53021
992519531.25,-78.53293
992529296.875,-78.48164
992539062.5,-78.5079
992548828.125,-78.492714
992558593.75,-78.431984
992568359.375,-78.45621
992578125.0,-78.5067
992587890.625,-78.512794
992597656.25,-78.47635
992607421.875,-78.53233
992617187.5,-78.540184
992626953.125,-78.496956
992636718.75,-78.522316
992646484.375,-78.51398
992656250.0,-78.50898
992666015.625,-78.45502
992675781.25,-78.47672
992685546.875,-78.45038
992695312.5,-78.47585
992705078.125,-78.429825
992714843.75,-78.49113
992724609.375,-78.485405
992734375.0,-78.42006
992744140.625,-78.44968
992753906.25,-78.5048
992763671.875,-78.46675
992773437.5,-78.42256
992783203.125,-78.4511
992792968.75,-78.48114
992802734.375,-78.42967
992812500.0,-78.457954
992822265.625,-78.47871
992832031.25,-78.45651
992841796.875,-78.449036
992851562.5,-78.466545
992861328.125,-78.4595
992871093.75,-78.473175
992880859.375,-78.49572
992890625.0,-78.5588
992900390.625,-78.51659
992910156.25,-78.50496
992919921.875,-78.45544
992929687.5,-78.43133
992939453.125,-78.422104
992949218.75,-78.47948
992958984.375,-78.4677
992968750.0,-78.46455
992978515.625,-78.45719
992988281.25,-78.5026
992998046.875,-78.54951
993007812.5,-78.53254
993017578.125,-78.46826
993027343.75,-78.44403
993037109.375,-78.446335
993046875.0,-78.40947
993056640.625,-78.44562
993066406.25,-78.488266
993076171.875,-78.54405
993085937.5,-78.560616
993095703.125,-78.53176
993105468.75,-78.4629
993115234.375,-78.465324
993125000.0,-78.527115
993134765.625,-78.49224
993144531.25,-78.479675
993154296.875,-78.49844
993164062.5,-78.53285
993173828.125,-78.53742
993183593.75,-78.49802
993193359.375,-78.51386
993203125.0,-78.53037
993212890.625,-78.53972
993222656.25,-78.53614
993232421.875,-78.53768
993242187.5,-78.45189
993251953.125,-78.456894
993261718.75,-78.465904
993271484.375,-78.45429
993281250.0,-78.479164
993291015.625,-78.47745
993300781.25,-78.4358
993310546.875,-78.46118
993320312.5,-78.48118
993330078.125,-78.48295
993339843.75,-78.46512
993349609.375,-78.42325
993359375.0,-78.45643
993369140.625,-78.46505
993378906.25,-78.44824
993388671.875,-78.43997
993398437.5,-78.508545
993408203.125,-78.52516
993417968.75,-78.494
993427734.375,-78.49457
993437500.0,-78.52141
993447265.625,-78.527214
993457031.25,-78.49061
993466796.875,-78.50501
993476562.5,-78.510315
993486328.125,-78.50569
993496093.75,-78.50058
993505859.375,-78.46641
993515625.0,-78.488754
993525390.625,-78.499466
993535156.25,-78.46085
993544921.875,-78.50506
993554687.5,-78.48638
993564453.125,-78.48988
993574218.75,-78.48952
993583984.375,-78.47844
993593750.0,-78.48285
993603515.625,-78.49054
993613281.25,-78.51075
993623046.875,-78.50666
993632812.5,-78.534355
993642578.125,-78.51034
993652343.75,-78.46433
993662109.375,-78.476585
993671875.0,-78.45763
993681640.625,-78.444016
993691406.25,-78.46852
993701171.875,-78.49428
993710937.5,-78.463425
993720703.125,-78.49753
993730468.75,-78.504555
993740234.375,-78.47937
993750000.0,-78.52325
993759765.625,-78.56536
993769531.25,-78.50821
993779296.875,-78.48309
993789062.5,-78.427826
993798828.125,-78.45001
993808593.75,-78.49397
993818359.375,-78.48939
993828125.0,-78.50608
993837890.625,-78.54261
993847656.25,-78.50429
993857421.875,-78.52143
993867187.5,-78.47354
993876953.125,-78.44376
993886718.75,-78.47923
993896484.375,-78.439125
993906250.0,-78.406235
993916015.625,-78.51375
993925781.25,-78.4917
993935546.875,-78.42117
993945312.5,-78.42566
993955078.125,-78.462585
993964843.75,-78.509476
993974609.375,-78.48067
993984375.0,-78.45687
993994140.625,-78.45425
994003906.25,-78.3674
994013671.875,-78.42702
994023437.5,-78.45639
994033203.125,-78.48417
994042968.75,-78.504196
994052734.375,-78.48111
994062500.0,-78.47242
994072265.625,-78.45979
994082031.25,-78.458466
994091796.875,-78.46147
994101562.5,-78.45333
994111328.125,-78.44249
994121093.75,-78.46773
994130859.375,-78.487595
994140625.0,-78.50082
994150390.625,-78.51081
994160156.25,-78.51573
994169921.875,-78.541115
994179687.5,-78.497734
994189453.125,-78.41915
994199218.75,-78.43004
994208984.375,-78.419
994218750.0,-78.45584
994228515.625,-78.43021
994238281.25,-78.40742
994248046.875,-78.40395
994257812.5,-78.4855
994267578.125,-78.53808
994277343.75,-78.44956
994287109.375,-78.494156
994296875.0,-78.5155
994306640.625,-78.528885
994316406.25,-78.46142
994326171.875,-78.4221
994335937.5,-78.46032
994345703.125,-78.42773
994355468.75,-78.42241
994365234.375,-78.45296
994375000.0,-78.45278
994384765.625,-78.51676
994394531.25,-78.53196
994404296.875,-78.455086
994414062.5,-78.49862
994423828.125,-78.56169
994433593.75,-78.50536
994443359.375,-78.441986
994453125.0,-78.44813
994462890.625,-78.48573
994472656.25,-78.46023
994482421.875,-78.42756
994492187.5,-78.427376
994501953.125,-78.45146
994511718.75,-78.46668
994521484.375,-78.49828
994531250.0,-78.444916
994541015.625,-78.52754
994550781.25,-78.52756
994560546.875,-78.49679
994570312.5,-78.4648
994580078.125,-78.45542
994589843.75,-78.46046
994599609.375,-78.474205
994609375.0,-78.488464
994619140.625,-78.47302
994628906.25,-78.41388
994638671.875,-78.47352
994648437.5,-78.550644
994658203.125,-78.46243
994667968.75,-78.45723
994677734.375,-78.46353
994687500.0,-78.43231
994697265.625,-78.42275
994707031.25,-78.45386
994716796.875,-78.444885
994726562.5,-78.46839
994736328.125,-78.500885
994746093.75,-78.47702
994755859.375,-78.441
994765625.0,-78.46647
994775390.625,-78.48795
994785156.25,-78.46873
994794921.875,-78.48289
994804687.5,-78.43222
994814453.125,-78.43854
994824218.75,-78.48017
994833984.375,-78.50724
994843750.0,-78.499466
994853515.625,-78.45755
994863281.25,-78.45232
994873046.875,-78.445854
994882812.5,-78.45079
994892578.125,-78.45668
994902343.75,-78.43619
994912109.375,-78.498405
994921875.0,-78.54372
994931640.625,-78.48144
994941406.25,-78.44624
994951171.875,-78.419815
994960937.5,-78.43158
994970703.125,-78.429634
994980468.75,-78.43181
994990234.375,-78.40422
995000000.0,-78.50524
995009765.625,-78.50817
995019531.25,-78.491325
995029296.875,-78.45732
995039062.5,-78.4245
995048828.125,-78.43035
995058593.75,-78.45735
995068359.375,-78.46238
995078125.0,-78.41854
995087890.625,-78.45788
995097656.25,-78.41281
995107421.875,-78.39149
995117187.5,-78.3948
995126953.125,-78.450554
995136718.75,-78.469154
995146484.375,-78.45331
995156250.0,-78.444046
995166015.625,-78.48687
995175781.25,-78.50674
995185546.875,-78.47843
995195312.5,-78.40098
995205078.125,-78.469666
995214843.75,-78.48069
995224609.375,-78.4227
995234375.0,-78.45166
995244140.625,-78.487076
995253906.25,-78.49397
