Frequency (Hz),PSD (dBm)
990000000.0,-75.56154
990009765.625,-75.54849
990019531.25,-75.55009
990029296.875,-75.56816
990039062.5,-75.57465
990048828.125,-75.558624
990058593.75,-75.53529
990068359.375,-75.524155
990078125.0,-75.52576
990087890.625,-75.55333
990097656.25,-75.5862
990107421.875,-75.57918
990117187.5,-75.54034
990126953.125,-75.53517
990136718.75,-75.55583
990146484.375,-75.61389
990156250.0,-75.65683
990166015.625,-75.6719
990175781.25,-75.6335
990185546.875,-75.57136
990195312.5,-75.55077
990205078.125,-75.54631
990214843.75,-75.50361
990224609.375,-75.4935
990234375.0,-75.51002
990244140.625,-75.524666
990253906.25,-75.47668
990263671.875,-75.51395
990273437.5,-75.50322
990283203.125,-75.51198
990292968.75,-75.530365
990302734.375,-75.56475
990312500.0,-75.55915
990322265.625,-75.56508
990332031.25,-75.530014
990341796.875,-75.52525
990351562.5,-75.49994
990361328.125,-75.52595
990371093.75,-75.55322
990380859.375,-75.5642
990390625.0,-75.585205
990400390.625,-75.55725
990410156.25,-75.55551
990419921.875,-75.54577
990429687.5,-75.55497
990439453.125,-75.57072
990449218.75,-75.54965
990458984.375,-75.53483
990468750.0,-75.55577
990478515.625,-75.55815
990488281.25,-75.498055
990498046.875,-75.46859
990507812.5,-75.53256
990517578.125,-75.588234
990527343.75,-75.54999
990537109.375,-75.55597
990546875.0,-75.5413
990556640.625,-75.53247
990566406.25,-75.54317
990576171.875,-75.57332
990585937.5,-75.5789
990595703.125,-75.55852
990605468.75,-75.518936
990615234.375,-75.50487
990625000.0,-75.524536
990634765.625,-75.54759
990644531.25,-75.55039
990654296.875,-75.539986
990664062.5,-75.47121
990673828.125,-75.506584
990683593.75,-75.50947
990693359.375,-75.5245
990703125.0,-75.52909
990712890.625,-75.51167
990722656.25,-75.48117
990732421.875,-75.44488
990742187.5,-75.49777
990751953.125,-75.53364
990761718.75,-75.53496
990771484.375,-75.53048
990781250.0,-75.546936
990791015.625,-75.522675
990800781.25,-75.51282
990810546.875,-75.48689
990820312.5,-75.49843
990830078.125,-75.5651
990839843.75,-75.526855
990849609.375,-75.5188
990859375.0,-75.5442
990869140.625,-75.54811
990878906.25,-75.51601
990888671.875,-75.50319
990898437.5,-75.56813
990908203.125,-75.53741
990917968.75,-75.524826
990927734.375,-75.51432
990937500.0,-75.518845
990947265.625,-75.533615
990957031.25,-75.52619
990966796.875,-75.503716
990976562.5,-75.50253
990986328.125,-75.50789
990996093.75,-75.489815
991005859.375,-75.47929
991015625.0,-75.46607
991025390.625,-75.567505
991035156.25,-75.557884
991044921.875,-75.50979
991054687.5,-75.48823
991064453.125,-75.541145
991074218.75,-75.567375
991083984.375,-75.535835
991093750.0,-75.5401
991103515.625,-75.48203
991113281.25,-75.47273
991123046.875,-75.49421
991132812.5,-75.4984
991142578.125,-75.499054
991152343.75,-75.52777
991162109.375,-75.514015
991171875.0,-75.494675
991181640.625,-75.50339
991191406.25,-75.50985
991201171.875,-75.54111
991210937.5,-75.600746
991220703.125,-75.63741
991230468.75,-75.56852
991240234.375,-75.51318
991250000.0,-75.51393
991259765.625,-75.51419
991269531.25,-75.52437
991279296.875,-75.546036
991289062.5,-75.5366
991298828.125,-75.53498
991308593.75,-75.523
991318359.375,-75.48584
991328125.0,-75.51638
991337890.625,-75.52092
991347656.25,-75.51433
991357421.875,-75.48689
991367187.5,-75.49184
991376953.125,-75.52033
991386718.75,-75.52812
991396484.375,-75.5226
991406250.0,-75.51719
991416015.625,-75.520645
991425781.25,-75.499405
991435546.875,-75.4903
991445312.5,-75.52208
991455078.125,-75.53415
991464843.75,-75.52472
991474609.375,-75.50763
991484375.0,-75.5098
991494140.625,-75.52917
991503906.25,-75.56791
991513671.875,-75.50948
991523437.5,-75.52435
991533203.125,-75.533134
991542968.75,-75.55947
991552734.375,-75.54181
991562500.0,-75.537
991572265.625,-75.51701
991582031.25,-75.490326
991591796.875,-75.4839
991601562.5,-75.52455
991611328.125,-75.54612
991621093.75,-75.58097
991630859.375,-75.526634
991640625.0,-75.47461
991650390.625,-75.500824
991660156.25,-75.51444
991669921.875,-75.520874
991679687.5,-75.49451
991689453.125,-75.47029
991699218.75,-75.480316
