Frequency (Hz),PSD (dBm)
-10000000.0,-66.06821295672067
-9980000.0,-66.07108538913478
-9960000.0,-66.08036781465492
-9940000.0,-66.0912547905032
-9920000.0,-66.08231132568048
-9900000.0,-66.07723998403115
-9880000.0,-66.08530791744525
-9860000.0,-66.10357018070651
-9840000.0,-66.13442851170245
-9820000.0,-66.11118051640878
-9800000.0,-66.10519678846327
-9780000.0,-66.1137282428801
-9760000.0,-66.09969724209525
-9740000.0,-66.12590684651917
-9720000.0,-66.12921656063901
-9700000.0,-66.11088769579837
-9680000.0,-66.1193985895047
-9660000.0,-66.12677171880443
-9640000.0,-66.10738372757255
-9620000.0,-66.07284985320233
-9600000.0,-66.08693886979506
-9580000.0,-66.0795489463686
-9560000.0,-66.05643204136061
-9540000.0,-66.09431639850916
-9520000.0,-66.12879656237006
-9500000.0,-66.11409075508213
-9480000.0,-66.11907081242171
-9460000.0,-66.14814930436624
-9440000.0,-66.14140534108986
-9420000.0,-66.10080297127566
-9400000.0,-66.08940251168222
-9380000.0,-66.0970344544068
-9360000.0,-66.08798540168637
-9340000.0,-66.08369782029894
-9320000.0,-66.08232522064746
-9300000.0,-66.080709972021
-9280000.0,-66.08390484625566
-9260000.0,-66.0618737278297
-9240000.0,-66.08831129444872
-9220000.0,-66.11299044617374
-9200000.0,-66.08811015975982
-9180000.0,-66.08726307942237
-9160000.0,-66.11500538530004
-9140000.0,-66.08700330863024
-9120000.0,-66.09704600365886
-9100000.0,-66.10732154150001
-9080000.0,-66.08659216289153
-9060000.0,-66.05443348617257
-9040000.0,-66.04825943416961
-9020000.0,-66.10722541076629
-9000000.0,-66.10023415591498
-8980000.0,-66.09706848260238
-8960000.0,-66.13424044545992
-8940000.0,-66.14789301842433
-8920000.0,-66.12974680753469
-8900000.0,-66.13069462806399
-8880000.0,-66.07531780991316
-8860000.0,-66.04771084960947
-8840000.0,-66.10153636423091
-8820000.0,-66.09441529349479
-8800000.0,-66.06541951485296
-8780000.0,-66.0811861374394
-8760000.0,-66.05881759797799
-8740000.0,-66.10197539147927
-8720000.0,-66.08846909953232
-8700000.0,-66.04191612059496
-8680000.0,-66.07773652514706
-8660000.0,-66.12709512279733
-8640000.0,-66.10115721304118
-8620000.0,-66.11374787473883
-8600000.0,-66.14033077349406
-8580000.0,-66.13788558782458
-8560000.0,-66.11666195292497
-8540000.0,-66.07247093117353
-8520000.0,-66.10233275780936
-8500000.0,-66.12193273377858
-8480000.0,-66.09681021475242
-8460000.0,-66.12134651889242
-8440000.0,-66.115562571586
-8420000.0,-66.07199931926476
-8400000.0,-66.10538615582297
-8380000.0,-66.1310407864275
-8360000.0,-66.08806260959925
-8340000.0,-66.09325573243635
-8320000.0,-66.08648025254345
-8300000.0,-66.10594888474932
-8280000.0,-66.10528776119635
-8260000.0,-66.10598151762433
-8240000.0,-66.10068765360433
-8220000.0,-66.13287755763777
-8200000.0,-66.10630450654432
-8180000.0,-66.11345201766768
-8160000.0,-66.07434449694536
-8140000.0,-66.08829529134243
-8120000.0,-66.1071731643079
-8100000.0,-66.09558321443942
-8080000.0,-66.10307062295546
-8060000.0,-66.11243303909498
-8040000.0,-66.10982321379655
-8020000.0,-66.09706432798134
-8000000.0,-66.05402838622665
-7980000.0,-66.08909305012978
-7960000.0,-66.10849032668173
-7940000.0,-66.09847009595035
-7920000.0,-66.10290122833986
-7900000.0,-66.09033242673603
-7880000.0,-66.1028712835586
-7860000.0,-66.07329154749796
-7840000.0,-66.12857207962571
-7820000.0,-66.12409523809447
-7800000.0,-66.129851885609
-7780000.0,-66.09510443565384
-7760000.0,-66.08622140891477
-7740000.0,-66.111819162273
-7720000.0,-66.11628094555152
-7700000.0,-66.10492269430057
