Frecuencia (Hz),PSD
-10000000.000000,-100.393706038635585
-9995117.187500,-100.337403344354428
-9990234.375000,-100.480187824262330
-9985351.562500,-100.526887325863470
-9980468.750000,-100.400173460320431
-9975585.937500,-96.572586092806731
-9970703.125000,-96.286478458682510
-9965820.312500,-100.335550719740993
-9960937.500000,-100.482691036589301
-9956054.687500,-100.492598000707062
-9951171.875000,-100.486899336619061
-9946289.062500,-100.549863709456417
-9941406.250000,-100.485129340100983
-9936523.437500,-100.522978027313343
-9931640.625000,-100.488037865593043
-9926757.812500,-100.488678606493863
-9921875.000000,-100.456168483760209
-9916992.187500,-100.397123949142070
-9912109.375000,-100.402583366515131
-9907226.562500,-100.368965284322655
-9902343.750000,-100.488859028524104
-9897460.937500,-100.573650632534495
-9892578.125000,-100.660812657038136
-9887695.312500,-100.612723204816135
-9882812.500000,-100.546147483254003
-9877929.687500,-100.434765934093022
-9873046.875000,-100.520980766137399
-9868164.062500,-100.497512911525021
-9863281.250000,-100.493621354383990
-9858398.437500,-100.579654691179158
-9853515.625000,-100.535944053745311
-9848632.812500,-100.464650834616236
-9843750.000000,-100.519816498593769
-9838867.187500,-100.512891095147722
-9833984.375000,-100.582322373264660
-9829101.562500,-100.550605319979695
-9824218.750000,-100.575844262497753
-9819335.937500,-100.598124950197928
-9814453.125000,-100.493437178567220
-9809570.312500,-100.523322061683615
-9804687.500000,-100.475470644504568
-9799804.687500,-100.469086726204637
-9794921.875000,-100.480950252604345
-9790039.062500,-100.551853405848775
-9785156.250000,-100.569176776971133
-9780273.437500,-100.528025736528122
-9775390.625000,-100.514218206860136
-9770507.812500,-100.521466006690702
-9765625.000000,-100.478445547301902
-9760742.187500,-100.522635714952997
-9755859.375000,-100.581196919955090
-9750976.562500,-100.626805757302137
-9746093.750000,-100.526026544235819
-9741210.937500,-100.420017600992978
-9736328.125000,-100.499476192030386
-9731445.312500,-100.520733727371535
-9726562.500000,-100.480850652862898
-9721679.687500,-100.452025751780354
-9716796.875000,-100.426623220043254
-9711914.062500,-100.446447265539717
-9707031.250000,-100.480382171106044
-9702148.437500,-100.526308796909078
-9697265.625000,-100.593454793665430
-9692382.812500,-100.646076943100780
-9687500.000000,-100.613741174988846
-9682617.187500,-100.559532387198658
-9677734.375000,-100.560001186429972
-9672851.562500,-100.591924975357315
-9667968.750000,-100.575680811984370
-9663085.937500,-100.576419112805610
-9658203.125000,-100.532242711007797
-9653320.312500,-100.585137803813055
-9648437.500000,-100.632839297537544
-9643554.687500,-100.586266496808335
-9638671.875000,-100.569564343020019
-9633789.062500,-100.521972085186761
-9628906.250000,-100.517867014590507
-9624023.437500,-100.482347270377971
-9619140.625000,-100.555330211344113
-9614257.812500,-100.593197623237870
-9609375.000000,-100.491227865842177
-9604492.187500,-100.432970895361521
-9599609.375000,-100.509837819074448
-9594726.562500,-100.558002904213652
-9589843.750000,-100.561552163840844
-9584960.937500,-100.490607497986346
-9580078.125000,-100.492158128371884
-9575195.312500,-100.486548218969574
-9570312.500000,-100.420050188168091
-9565429.687500,-100.464647957894442
-9560546.875000,-100.517253744413324
-9555664.062500,-100.539456237094939
-9550781.250000,-100.549640638982368
-9545898.437500,-100.528419460813083
-9541015.625000,-100.533674174653669
-9536132.812500,-100.581658115764455
-9531250.000000,-100.557015255094257
-9526367.187500,-100.461889833506405
