frequency,bandwidth
406.075,0.0125
406.125,0.0125
406.175,0.0125
406.25,0.0125
406.375,0.0125
408.125,0.0125
411.0,1.4
412.0125,0.0125
412.025,0.0125
412.0375,0.0125
412.05,0.0125
412.0625,0.0125
412.0875,0.0125
412.1,0.0125
412.1125,0.0125
412.1375,0.0125
412.15,0.0125
412.1625,0.0125
412.175,0.0125
412.1875,0.0125
412.2,0.0125
412.2125,0.0125
412.225,0.0125
412.2375,0.0125
412.25,0.0125
412.2625,0.0125
412.275,0.0125
412.2875,0.0125
412.3,0.0125
412.3125,0.0125
412.325,0.0125
412.3375,0.0125
412.35,0.0125
412.3625,0.0125
412.375,0.0125
412.3875,0.0125
412.4,0.0125
412.425,0.0125
412.4375,0.0125
412.45,0.0125
412.475,0.0125
412.4875,0.0125
412.5,0.0125
412.5125,0.0125
412.525,0.0125
412.5375,0.0125
412.55,0.0125
412.5625,0.0125
412.5875,0.0125
412.6,0.0125
412.6125,0.0125
412.6375,0.0125
412.6625,0.0125
412.675,0.0125
412.6875,0.0125
412.7125,0.0125
412.725,0.0125
412.7375,0.0125
412.7625,0.0125
412.7875,0.0125
412.8,0.0125
412.8125,0.0125
412.825,0.0125
412.8375,0.0125
412.85,0.0125
412.8625,0.0125
412.8875,0.0125
412.9,0.0125
412.9125,0.0125
412.925,0.0125
412.9375,0.0125
412.9625,0.0125
412.9875,0.0125
413.0,0.0125
413.0125,0.0125
413.025,0.0125
413.0375,0.0125
413.05,0.0125
413.0625,0.0125
413.075,0.0125
413.0875,0.0125
413.1125,0.0125
413.125,0.0125
413.1375,0.0125
413.1625,0.0125
413.175,0.0125
413.1875,0.0125
413.2125,0.0125
413.2375,0.0125
413.25,0.0125
413.2625,0.0125
413.275,0.0125
413.3,0.0125
413.3125,0.0125
413.3375,0.0125
413.35,0.0125
413.3625,0.0125
413.3875,0.0125
413.4,0.0125
413.4125,0.0125
413.425,0.0125
413.4375,0.0125
413.45,0.0125
413.475,0.0125
413.4875,0.0125
413.5125,0.0125
413.5375,0.0125
413.55,0.0125
413.5625,0.0125
413.5875,0.0125
413.6,0.0125
413.6125,0.0125
413.625,0.0125
413.6375,0.0125
413.6625,0.0125
413.675,0.0125
413.6875,0.0125
413.7,0.0125
413.7125,0.0125
413.725,0.0125
413.7375,0.0125
413.7625,0.0125
413.775,0.0125
413.7875,0.0125
413.8125,0.0125
413.825,0.0125
413.8375,0.0125
413.85,0.0125
413.8625,0.0125
413.8875,0.0125
413.9,0.0125
413.9125,0.0125
413.925,0.0125
413.9375,0.0125
413.95,0.0125
413.9625,0.0125
413.975,0.0125
413.9875,0.0125
414.0125,0.0125
414.025,0.0125
414.0375,0.0125
414.05,0.0125
414.0875,0.0125
414.1125,0.0125
414.125,0.0125
414.1375,0.0125
414.15,0.0125
414.1625,0.0125
414.175,0.0125
414.1875,0.0125
414.2125,0.0125
414.225,0.0125
414.2375,0.0125
414.2625,0.0125
414.3,0.0125
414.3125,0.0125
414.325,0.0125
414.35,0.0125
414.3625,0.0125
414.375,0.0125
414.3875,0.0125
414.4,0.0125
414.4125,0.0125
414.425,0.0125
414.4375,0.0125
414.45,0.0125
414.475,0.0125
414.4875,0.0125
414.5125,0.0125
414.5375,0.0125
414.55,0.0125
414.5625,0.0125
414.575,0.0125
414.5875,0.0125
414.6,0.0125
414.6125,0.0125
414.6375,0.0125
414.6625,0.0125
414.675,0.0125
414.6875,0.0125
414.7125,0.0125
414.7375,0.0125
414.7625,0.0125
414.775,0.0125
414.7875,0.0125
414.8,0.0125
414.8125,0.0125
414.825,0.0125
414.85,0.0125
414.8625,0.0125
414.8875,0.0125
414.9125,0.0125
414.925,0.0125
414.9375,0.0125
414.95,0.0125
414.9625,0.0125
414.975,0.0125
414.9875,0.0125
415.0,0.0125
415.05,0.025
415.175,0.025
415.25,0.025
415.35,0.025
415.45,0.025
415.4875,0.0125
415.575,0.025
415.65,0.025
415.725,0.025
415.85,0.025
415.925,0.025
416.0,0.025
416.075,0.025
416.15,0.025
416.225,0.025
416.3,0.025
416.325,0.025
416.375,0.025
416.4,0.025
416.425,0.025
416.45,0.025
416.475,0.025
416.55,0.025
416.625,0.025
416.65,0.025
416.675,0.025
416.7,0.025
416.725,0.025
416.75,0.025
416.775,0.025
416.875,0.025
416.9,0.025
416.925,0.025
416.95,0.025
416.975,0.025
417.0,0.025
417.025,0.025
417.125,0.025
417.15,0.025
417.175,0.025
417.2,0.025
417.225,0.025
417.25,0.025
418.025,0.025
418.15,0.025
418.275,0.025
418.4,0.025
418.525,0.025
418.55,0.025
418.575,0.025
418.6,0.025
418.625,0.025
418.65,0.025
418.75,0.025
418.775,0.025
418.8,0.025
418.85,0.025
418.9,0.025
419.7625,0.05
