frequency,bandwidth
450.0125,0.0125
450.025,0.0125
450.0375,0.0125
450.0625,0.0125
450.075,0.0125
450.0875,0.0125
450.1,0.0125
450.125,0.0125
450.1375,0.0125
450.1625,0.0125
450.175,0.0125
450.2,0.0125
450.2125,0.0125
450.225,0.0125
450.2375,0.0125
450.25,0.0125
450.2625,0.0125
450.275,0.0125
450.2875,0.0125
450.3,0.0125
450.3125,0.0125
450.325,0.0125
450.3375,0.0125
450.35,0.0125
450.3625,0.0125
450.375,0.0125
450.3875,0.0125
450.4,0.0125
450.4125,0.0125
450.425,0.0125
450.4375,0.0125
450.45,0.0125
450.4625,0.0125
450.475,0.0125
450.4875,0.0125
450.5,0.0125
450.5125,0.0125
450.525,0.0125
450.5375,0.0125
450.5625,0.0125
450.575,0.0125
450.5875,0.0125
450.6,0.0125
450.6125,0.0125
450.625,0.0125
450.6375,0.0125
450.65,0.0125
450.6625,0.0125
450.675,0.0125
450.6875,0.0125
450.7,0.0125
450.7125,0.0125
450.725,0.0125
450.7375,0.0125
450.75,0.0125
450.7625,0.0125
450.775,0.0125
450.7875,0.0125
450.8,0.0125
450.8125,0.0125
450.825,0.0125
450.8375,0.0125
450.85,0.0125
450.8625,0.0125
450.875,0.0125
450.8875,0.0125
450.9,0.0125
450.9125,0.0125
450.925,0.0125
450.9375,0.0125
450.95,0.0125
450.9625,0.0125
450.975,0.0125
450.9875,0.0125
451.0,0.0125
451.0125,0.0125
451.025,0.0125
451.0375,0.0125
451.05,0.0125
451.0625,0.0125
451.075,0.0125
451.0875,0.0125
451.1,0.0125
451.125,0.0125
451.1375,0.0125
451.15,0.0125
451.1625,0.0125
451.175,0.0125
451.1875,0.0125
451.2,0.0125
451.2125,0.0125
451.225,0.0125
451.2375,0.0125
451.25,0.0125
451.2625,0.0125
451.275,0.0125
451.2875,0.0125
451.3,0.0125
451.3125,0.0125
451.325,0.0125
451.3375,0.0125
451.35,0.0125
451.3625,0.0125
451.375,0.0125
451.3875,0.0125
451.4,0.0125
451.4125,0.0125
451.425,0.0125
451.4375,0.0125
451.45,0.0125
451.4625,0.0125
451.475,0.0125
451.4875,0.0125
451.5,0.0125
451.5125,0.0125
451.525,0.0125
451.5375,0.0125
451.55,0.0125
451.5625,0.0125
451.575,0.0125
451.5875,0.0125
451.6,0.0125
451.6125,0.0125
451.625,0.0125
451.6375,0.0125
451.65,0.0125
451.6625,0.0125
451.6875,0.0125
451.7,0.0125
451.7125,0.0125
451.725,0.0125
451.7375,0.0125
451.75,0.0125
451.7625,0.0125
451.775,0.0125
451.7875,0.0125
451.8,0.0125
451.8125,0.0125
451.825,0.0125
451.8375,0.0125
451.85,0.0125
