frequency,bandwidth
148.0125,0.0125
148.025,0.0125
148.0375,0.0125
148.05,0.0125
148.0625,0.0125
148.075,0.0125
148.1,0.0125
148.1125,0.0125
148.125,0.0125
148.1375,0.0125
148.15,0.0125
148.1625,0.0125
148.175,0.0125
148.1875,0.0125
148.2,0.0125
148.225,0.0125
148.25,0.0125
148.275,0.0125
148.2875,0.0125
148.3,0.0125
148.325,0.0125
148.3375,0.0125
148.3625,0.0125
148.375,0.0125
148.3875,0.0125
148.4,0.0125
148.4125,0.0125
148.425,0.0125
148.4375,0.0125
148.45,0.0125
148.4625,0.0125
148.475,0.0125
148.4875,0.0125
148.5,0.0125
148.5125,0.0125
148.525,0.0125
148.5375,0.0125
148.55,0.0125
148.5625,0.0125
148.575,0.0125
148.5875,0.0125
148.6,0.0125
148.625,0.0125
148.65,0.0125
148.675,0.0125
148.6875,0.0125
148.7,0.0125
148.7125,0.0125
148.725,0.0125
148.7375,0.0125
148.75,0.0125
148.775,0.0125
148.7875,0.0125
148.825,0.0125
148.8375,0.0125
148.85,0.0125
148.8625,0.0125
148.875,0.0125
148.8875,0.0125
148.9,0.0125
148.9125,0.0125
148.925,0.0125
148.9375,0.0125
148.95,0.0125
148.9625,0.0125
148.975,0.0125
148.9875,0.0125
149.0,0.0125
149.0125,0.0125
149.025,0.0125
149.0375,0.0125
149.0625,0.0125
149.0875,0.0125
149.1125,0.0125
149.125,0.0125
149.1375,0.0125
149.15,0.0125
149.1625,0.0125
149.175,0.0125
149.1875,0.0125
149.2,0.0125
149.225,0.0125
149.2375,0.0125
149.275,0.0125
149.2875,0.0125
149.3375,0.0125
149.35,0.0125
149.375,0.0125
149.3875,0.0125
149.4125,0.0125
149.425,0.0125
149.5,0.0125
149.525,0.0125
149.55,0.0125
149.6,0.0125
149.625,0.0125
149.6375,0.0125
149.6625,0.0125
149.7,0.0125
149.7125,0.0125
149.7375,0.0125
149.7625,0.0125
149.8,0.0125
149.8375,0.0125
149.85,0.0125
149.875,0.0125
149.8875,0.0125
149.9875,0.0125
150.0125,0.0125
150.0375,0.0125
150.05,0.0125
150.0625,0.0125
150.075,0.0125
150.0875,0.0125
150.1,0.0125
150.1125,0.0125
150.125,0.0125
150.1375,0.0125
