Frecuencia (MHz),Error (dB)
100000000.0,-1.112198799999998
200000000.0,-0.4350717899999985
300000000.0,-0.5018618400000001
400000000.0,-0.7526929399999993
500000000.0,-1.2389187899999996
600000000.0,-1.3201233199999969
700000000.0,-1.2267646700000014
800000000.0,-1.8520249399999997
900000000.0,-2.1938105599999993
1000000000.0,-2.8279265900000006
1100000000.0,-3.6186775499999975
1200000000.0,-4.1953196099999985
1300000000.0,-5.061724659999999
1400000000.0,-6.824564859999999
1500000000.0,-6.804048250000001
1600000000.0,-6.414960449999999
1700000000.0,-7.142447669999996
1800000000.0,-8.258240000000004
1900000000.0,-9.360828240000004
2000000000.0,-11.61480516
2100000000.0,-14.19302626
2200000000.0,-3.3094891900000007
2300000000.0,-3.4299184599999997
2400000000.0,-3.862426850000002
2500000000.0,-4.546867500000001
2600000000.0,-6.485844070000002
2700000000.0,-8.741107849999999
2800000000.0,-23.418470220000003
2900000000.0,-24.96257333
3000000000.0,-24.41307586
