fc (MHz),Amplitude at fc+2.0MHz (dBm)
98.0,-24.9675872
198.0,-25.28791821
298.0,-25.14576116
398.0,-25.66517506
498.0,-25.51877121
598.0,-25.63858868
698.0,-25.46629333
798.0,-25.22086606
898.0,-25.00357144
998.0,-25.47861641
1098.0,-25.19256345
1198.0,-24.54449739
1298.0,-24.57449034
1398.0,-23.72953914
1498.0,-24.41006675
1598.0,-25.35105555
1698.0,-25.54005233
1798.0,-25.917892
1898.0,-26.18508576
1998.0,-26.52460684
2098.0,-26.27326374
2198.0,-26.58522081
2298.0,-26.35676354
2398.0,-26.38180915
2498.0,-26.8002015
2598.0,-27.02130093
2698.0,-26.97702415
2798.0,-26.61453478
2898.0,-27.22193167
2998.0,-29.77694914
