Freq_Hz,Amplitude_dB
-9.999902000000000000e+06,-9.141287384000014526e+01
-9.979902000000000000e+06,-8.802274169999989795e+01
-9.959902000000000000e+06,-9.387910766999995360e+01
-9.939902000000000000e+06,-8.396844940000008251e+01
-9.919902000000000000e+06,-8.903076934999991465e+01
-9.899902000000000000e+06,-9.104765777999999443e+01
-9.879902000000000000e+06,-8.321464539000022853e+01
-9.859902000000000000e+06,-8.721683502000003330e+01
-9.839902000000000000e+06,-8.695737610000006157e+01
-9.819902000000000000e+06,-8.633353271000011375e+01
-9.799902000000000000e+06,-8.811600646999983155e+01
-9.779902000000000000e+06,-9.436651459000009368e+01
-9.759902000000000000e+06,-9.040619049000005703e+01
-9.739902000000000000e+06,-8.963721007999994583e+01
-9.719902000000000000e+06,-8.984791718000005289e+01
-9.699902000000000000e+06,-8.077104340000003901e+01
-9.679902000000000000e+06,-8.626686248999982354e+01
-9.659902000000000000e+06,-8.841430054000009875e+01
-9.639902000000000000e+06,-9.273095855999983428e+01
-9.619902000000000000e+06,-9.279614258000017912e+01
-9.599902000000000000e+06,-9.001594237999981374e+01
-9.579902000000000000e+06,-8.754924774000011212e+01
-9.559902000000000000e+06,-8.823665314000010085e+01
-9.539902000000000000e+06,-9.006405334000008622e+01
-9.519902000000000000e+06,-7.920998993000010557e+01
-9.499902000000000000e+06,-8.387336883999985560e+01
-9.479902000000000000e+06,-9.105077208999983895e+01
-9.459902000000000000e+06,-8.434048004000014487e+01
-9.439902000000000000e+06,-8.328332824999982620e+01
-9.419902000000000000e+06,-8.995773315000022308e+01
-9.399902000000000000e+06,-8.156240233999983502e+01
-9.379902000000000000e+06,-7.954245453000015686e+01
-9.359902000000000000e+06,-8.684598998999997832e+01
-9.339902000000000000e+06,-8.773439941000003728e+01
-9.319902000000000000e+06,-8.222534636999991164e+01
-9.299902000000000000e+06,-9.229132996000024036e+01
-9.279902000000000000e+06,-9.119904938000016159e+01
-9.259902000000000000e+06,-9.797962341000005893e+01
-9.239902000000000000e+06,-8.808163452000006544e+01
-9.219902000000000000e+06,-9.110605315999984555e+01
-9.199902000000000000e+06,-9.977919769000001793e+01
-9.179902000000000000e+06,-8.312704467999996893e+01
-9.159902000000000000e+06,-7.986419525000013664e+01
-9.139902000000000000e+06,-9.157509308000024362e+01
-9.119902000000000000e+06,-9.247924500000024750e+01
-9.099902000000000000e+06,-9.545835571000010589e+01
-9.079902000000000000e+06,-8.882236023000019998e+01
-9.059902000000000000e+06,-8.677207793999990315e+01
-9.039902000000000000e+06,-8.718936157000000264e+01
-9.019902000000000000e+06,-9.130578155999984347e+01
-8.999902000000000000e+06,-9.395256652999995595e+01
-8.979902000000000000e+06,-9.312713928000006547e+01
-8.959902000000000000e+06,-9.177779235999994967e+01
-8.939902000000000000e+06,-9.216992339999995920e+01
-8.919902000000000000e+06,-9.071268004999993195e+01
-8.899902000000000000e+06,-8.759727477999992118e+01
-8.879902000000000000e+06,-9.392457580999990796e+01
-8.859902000000000000e+06,-9.217877960000001281e+01
-8.839902000000000000e+06,-8.964450989000013692e+01
-8.819902000000000000e+06,-8.546378937000007170e+01
-8.799902000000000000e+06,-9.076628264999999374e+01
-8.779902000000000000e+06,-9.197357635000000187e+01
-8.759902000000000000e+06,-9.371458588000010081e+01
-8.739902000000000000e+06,-9.302085875999989639e+01
-8.719902000000000000e+06,-8.307871857000004923e+01
-8.699902000000000000e+06,-8.916911010999983489e+01
-8.679902000000000000e+06,-9.445413207999992267e+01
-8.659902000000000000e+06,-8.903857573999995623e+01
-8.639902000000000000e+06,-9.248842772999995532e+01
-8.619902000000000000e+06,-9.682236328000000469e+01
-8.599902000000000000e+06,-9.323525542999979621e+01
-8.579902000000000000e+06,-9.161041106999988415e+01
-8.559902000000000000e+06,-9.481164397999982896e+01
-8.539902000000000000e+06,-9.313189240000001234e+01
-8.519902000000000000e+06,-9.677776031000013290e+01
-8.499902000000000000e+06,-8.976413116000001935e+01
-8.479902000000000000e+06,-9.057574768000003473e+01
-8.459902000000000000e+06,-8.787886658000007856e+01
-8.439902000000000000e+06,-9.206747130999991668e+01
-8.419902000000000000e+06,-9.597962188999994737e+01
-8.399902000000000000e+06,-9.402782898000000955e+01
-8.379902000000000000e+06,-9.735788269000002515e+01
-8.359902000000000000e+06,-9.236315308000003199e+01
-8.339902000000000000e+06,-9.148934784000005038e+01
-8.319902000000000000e+06,-9.430815124999999455e+01
-8.299902000000000000e+06,-9.346198883000015201e+01
-8.279902000000000000e+06,-9.644685822000002418e+01
-8.259902000000000000e+06,-9.005698395000015921e+01
-8.239902000000000000e+06,-9.156300659000024211e+01
-8.219902000000000000e+06,-9.005834350999992921e+01
-8.199902000000000000e+06,-9.111799926999994170e+01
-8.179902000000000000e+06,-9.383466796999999815e+01
-8.159902000000000000e+06,-9.297852477999992971e+01
-8.139902000000000000e+06,-9.381778717000010204e+01
-8.119902000000000000e+06,-8.330411071999989758e+01
-8.099902000000000000e+06,-8.796057892000017375e+01
-8.079902000000000000e+06,-9.356506041999999468e+01
-8.059902000000000000e+06,-9.138883819999983871e+01
-8.039902000000000000e+06,-9.065019072999997718e+01
-8.019902000000000000e+06,-9.349490967000014052e+01
-7.999902000000000000e+06,-9.073486785999999427e+01
-7.979902000000000000e+06,-7.908074036000010665e+01
-7.959902000000000000e+06,-8.852885436999997637e+01
-7.939902000000000000e+06,-8.539936828999999818e+01
-7.919902000000000000e+06,-7.673326874000011344e+01
-7.899902000000000000e+06,-8.723421935999982679e+01
-7.879902000000000000e+06,-8.904734649999976170e+01
-7.859902000000000000e+06,-8.340441131999983781e+01
-7.839902000000000000e+06,-8.903858337000013989e+01
-7.819902000000000000e+06,-9.262217711999988978e+01
-7.799902000000000000e+06,-8.581160126000013122e+01
-7.779902000000000000e+06,-9.129775391000006834e+01
-7.759902000000000000e+06,-7.614319152999998153e+01
-7.739902000000000000e+06,-8.140645141999995360e+01
-7.719902000000000000e+06,-9.000139008000022045e+01
-7.699902000000000000e+06,-9.429801331000011544e+01
-7.679902000000000000e+06,-8.783799591000007467e+01
-7.659902000000000000e+06,-9.298779448999995623e+01
-7.639902000000000000e+06,-9.751940308000001778e+01
-7.619902000000000000e+06,-9.188702850000001376e+01
-7.599902000000000000e+06,-9.343483276000004878e+01
-7.579902000000000000e+06,-9.380136413999998979e+01
-7.559902000000000000e+06,-9.228146515000000250e+01
-7.539902000000000000e+06,-9.295612945999997123e+01
-7.519902000000000000e+06,-9.154181976000003829e+01
-7.499902000000000000e+06,-9.204177856000006841e+01
-7.479902000000000000e+06,-9.647682036999991340e+01
-7.459902000000000000e+06,-9.370826262999986511e+01
-7.439902000000000000e+06,-9.118237000000024750e+01
-7.419902000000000000e+06,-8.356315918000011322e+01
-7.399902000000000000e+06,-7.905791931000015893e+01
-7.379902000000000000e+06,-7.786515960999990682e+01
-7.359902000000000000e+06,-8.114139099000016131e+01
-7.339902000000000000e+06,-9.266561127000016995e+01
-7.319902000000000000e+06,-7.898049163999989730e+01
-7.299902000000000000e+06,-8.209257813000016313e+01
-7.279902000000000000e+06,-8.219359436000007690e+01
-7.259902000000000000e+06,-8.609972381999983781e+01
-7.239902000000000000e+06,-8.565646666999984404e+01
-7.219902000000000000e+06,-8.725207520000002148e+01
-7.199902000000000000e+06,-8.880391235000007555e+01
-7.179902000000000000e+06,-9.156869965000001343e+01
-7.159902000000000000e+06,-8.533848724000011998e+01
-7.139902000000000000e+06,-9.430126801000004377e+01
-7.119902000000000000e+06,-9.350552825999994866e+01
-7.099902000000000000e+06,-8.514890899999976170e+01
-7.079902000000000000e+06,-8.758137360000000626e+01
-7.059902000000000000e+06,-8.521117858999987504e+01
-7.039902000000000000e+06,-8.337086028999986809e+01
-7.019902000000000000e+06,-9.279324798999994073e+01
-6.999902000000000000e+06,-9.349267730999982007e+01
-6.979902000000000000e+06,-8.457450562000009597e+01
-6.959902000000000000e+06,-9.111061401000004878e+01
-6.939902000000000000e+06,-8.822686768000012592e+01
-6.919902000000000000e+06,-9.031376037999989137e+01
-6.899902000000000000e+06,-9.381230621000014480e+01
-6.879902000000000000e+06,-9.162526549999998338e+01
-6.859902000000000000e+06,-1.002107970999999225e+02
-6.839902000000000000e+06,-9.417909850999984656e+01
-6.819902000000000000e+06,-9.200415039000003503e+01
-6.799902000000000000e+06,-9.695966033999989975e+01
-6.779902000000000000e+06,-9.891657866999976534e+01
-6.759902000000000000e+06,-9.268521728999991183e+01
-6.739902000000000000e+06,-9.214328156000009074e+01
-6.719902000000000000e+06,-9.292987060999990945e+01
-6.699902000000000000e+06,-8.459744262999994646e+01
-6.679902000000000000e+06,-9.699192351999974449e+01
-6.659902000000000000e+06,-9.924277344000003609e+01
-6.639902000000000000e+06,-9.993029937999996548e+01
-6.619902000000000000e+06,-9.474140472000000557e+01
-6.599902000000000000e+06,-9.735318298000005655e+01
-6.579902000000000000e+06,-9.153669434000019578e+01
-6.559902000000000000e+06,-9.907553100999999174e+01
-6.539902000000000000e+06,-9.611863860999989129e+01
-6.519902000000000000e+06,-9.615514832000006606e+01
-6.499902000000000000e+06,-9.673420563000017580e+01
-6.479902000000000000e+06,-9.767553253000004077e+01
-6.459902000000000000e+06,-9.505499268000008328e+01
-6.439902000000000000e+06,-9.375817870999998149e+01
-6.419902000000000000e+06,-9.400529633000022045e+01
