Frequency (Hz),PSD (dBm)
108000000.0,-70.22292
108009765.625,-70.24194
108019531.25,-70.24313
108029296.875,-70.294914
108039062.5,-70.29517
108048828.125,-70.257484
108058593.75,-70.23683
108068359.375,-70.27028
108078125.0,-70.240364
108087890.625,-70.188835
108097656.25,-70.22425
108107421.875,-70.218704
108117187.5,-70.20683
108126953.125,-70.21989
108136718.75,-70.2283
108146484.375,-70.241974
108156250.0,-70.29057
108166015.625,-70.28749
108175781.25,-70.26128
108185546.875,-70.26856
108195312.5,-70.25294
108205078.125,-70.26206
108214843.75,-70.26827
108224609.375,-70.27869
108234375.0,-70.27452
108244140.625,-70.247086
108253906.25,-70.26538
108263671.875,-70.25085
108273437.5,-70.229744
108283203.125,-70.24835
108292968.75,-70.24717
108302734.375,-70.299576
108312500.0,-70.2584
108322265.625,-70.194405
108332031.25,-70.21763
108341796.875,-70.24875
108351562.5,-70.23715
108361328.125,-70.21515
108371093.75,-70.18852
108380859.375,-70.24421
108390625.0,-70.217766
108400390.625,-70.23065
108410156.25,-70.260345
108419921.875,-70.2731
108429687.5,-70.22749
108439453.125,-70.24603
108449218.75,-70.23539
108458984.375,-70.25622
108468750.0,-70.24344
108478515.625,-70.25531
108488281.25,-70.270454
108498046.875,-70.33326
108507812.5,-70.28275
108517578.125,-70.24425
108527343.75,-70.32123
108537109.375,-70.294174
108546875.0,-70.25523
108556640.625,-70.29756
108566406.25,-70.29075
108576171.875,-70.30461
108585937.5,-70.32756
108595703.125,-70.266335
108605468.75,-70.282104
108615234.375,-70.28001
108625000.0,-70.25962
108634765.625,-70.25436
108644531.25,-70.270226
108654296.875,-70.25878
108664062.5,-70.297554
108673828.125,-70.31794
108683593.75,-70.2677
108693359.375,-70.26822
108703125.0,-70.23807
108712890.625,-70.23714
108722656.25,-70.23178
108732421.875,-70.201645
108742187.5,-70.25405
108751953.125,-70.26391
108761718.75,-70.29628
108771484.375,-70.22624
108781250.0,-70.246216
108791015.625,-70.23099
108800781.25,-70.26419
108810546.875,-70.31009
108820312.5,-70.33649
108830078.125,-70.30443
108839843.75,-70.27379
108849609.375,-70.31877
108859375.0,-70.30652
108869140.625,-70.27403
108878906.25,-70.238716
108888671.875,-70.22372
108898437.5,-70.20116
108908203.125,-70.20833
108917968.75,-70.269135
108927734.375,-70.26794
108937500.0,-70.25874
108947265.625,-70.23534
108957031.25,-70.28111
108966796.875,-70.300644
108976562.5,-70.29863
108986328.125,-70.298355
108996093.75,-70.31467
109005859.375,-70.28436
109015625.0,-70.22559
109025390.625,-70.24165
109035156.25,-70.26453
109044921.875,-70.24082
109054687.5,-70.278625
109064453.125,-70.27938
109074218.75,-70.203354
109083984.375,-70.1887
109093750.0,-70.03158
109103515.625,-69.79942
109113281.25,-69.98748
109123046.875,-70.229225
109132812.5,-70.266426
109142578.125,-70.26208
109152343.75,-70.268585
109162109.375,-70.27709
109171875.0,-70.242775
109181640.625,-70.26933
109191406.25,-70.25626
109201171.875,-70.25874
109210937.5,-70.25354
109220703.125,-70.24843
109230468.75,-70.28491
109240234.375,-70.26443
109250000.0,-70.24178
109259765.625,-70.25877
109269531.25,-70.22576
109279296.875,-70.19
109289062.5,-70.19382
109298828.125,-70.21485
109308593.75,-70.24785
109318359.375,-70.24131
109328125.0,-70.278435
109337890.625,-70.26131
109347656.25,-70.27582
109357421.875,-70.2894
109367187.5,-70.270966
109376953.125,-70.26551
109386718.75,-70.251366
109396484.375,-70.25957
109406250.0,-70.28314
109416015.625,-70.25079
109425781.25,-70.328026
109435546.875,-70.3232
109445312.5,-70.29757
109455078.125,-70.296005
109464843.75,-70.26396
109474609.375,-70.24367
109484375.0,-70.223755
109494140.625,-70.1933
109503906.25,-70.21918
109513671.875,-70.263245
109523437.5,-70.30567
109533203.125,-70.31122
109542968.75,-70.34212
109552734.375,-70.30376
109562500.0,-70.184845
109572265.625,-70.23283
109582031.25,-70.31713
109591796.875,-70.22481
109601562.5,-70.253586
109611328.125,-70.31308
109621093.75,-70.22747
109630859.375,-70.25212
109640625.0,-70.26589
109650390.625,-70.248146
109660156.25,-70.291306
109669921.875,-70.326126
109679687.5,-70.3042
109689453.125,-70.23762
109699218.75,-70.26511
109708984.375,-70.28485
109718750.0,-70.304924
109728515.625,-70.32006
109738281.25,-70.39755
109748046.875,-70.33191
109757812.5,-70.23101
109767578.125,-70.20339
109777343.75,-70.24991
109787109.375,-70.244705
109796875.0,-70.21111
109806640.625,-70.2242
